1
1  40
 0.0000e+00	 5.3800e+00	 1.0000e+02	 1.0000e+00	;
 2.0777e+00	 5.3940e+00	 9.9740e+01	 1.0000e+00	;
 4.8950e+00	 5.4521e+00	 9.8678e+01	 1.0000e+00	;
 5.6056e+00	 5.4726e+00	 9.7316e+01	 1.0000e+00	;
 6.5644e+00	 5.5035e+00	 9.4253e+01	 1.0000e+00	;
 7.7653e+00	 5.5467e+00	 9.0137e+01	 1.0000e+00	;
 9.2020e+00	 5.6037e+00	 8.4876e+01	 1.0000e+00	;
 1.0864e+01	 5.6751e+00	 7.8455e+01	 1.0000e+00	;
 1.2744e+01	 5.7601e+00	 7.0985e+01	 1.0000e+00	;
 1.4829e+01	 5.8556e+00	 6.2893e+01	 1.0000e+00	;
 1.7107e+01	 5.9562e+00	 5.5037e+01	 1.0000e+00	;
 1.9564e+01	 6.0537e+00	 4.8346e+01	 1.0000e+00	;
 2.2185e+01	 6.1365e+00	 4.2994e+01	 1.0000e+00	;
 2.4956e+01	 6.1905e+00	 3.8822e+01	 1.0000e+00	;
 2.7858e+01	 6.1983e+00	 3.5459e+01	 1.0000e+00	;
 3.0875e+01	 6.1405e+00	 3.2809e+01	 1.0000e+00	;
 3.3990e+01	 5.9956e+00	 3.0867e+01	 1.0000e+00	;
 3.7181e+01	 5.7413e+00	 2.9615e+01	 1.0000e+00	;
 4.0431e+01	 5.3698e+00	 2.9053e+01	 1.0000e+00	;
 4.3720e+01	 5.0030e+00	 2.8607e+01	 1.0000e+00	;
 4.7030e+01	 4.6716e+00	 2.8129e+01	 1.0000e+00	;
 5.0339e+01	 4.3739e+00	 2.7637e+01	 1.0000e+00	;
 5.3628e+01	 4.1078e+00	 2.7145e+01	 1.0000e+00	;
 5.6876e+01	 3.8710e+00	 2.6666e+01	 1.0000e+00	;
 6.0065e+01	 3.6600e+00	 2.6205e+01	 1.0000e+00	;
 6.3177e+01	 3.4711e+00	 2.5767e+01	 1.0000e+00	;
 6.6190e+01	 3.2991e+00	 2.5319e+01	 1.0000e+00	;
 6.9089e+01	 3.1398e+00	 2.4847e+01	 1.0000e+00	;
 7.1854e+01	 2.9894e+00	 2.4396e+01	 1.0000e+00	;
 7.4471e+01	 2.8417e+00	 2.4030e+01	 1.0000e+00	;
 7.6923e+01	 2.6876e+00	 2.3843e+01	 1.0000e+00	;
 7.9195e+01	 2.5293e+00	 2.3843e+01	 1.0000e+00	;
 8.1272e+01	 2.3794e+00	 2.3843e+01	 1.0000e+00	;
 8.3145e+01	 2.2235e+00	 2.3843e+01	 1.0000e+00	;
 8.4801e+01	 2.0568e+00	 2.3843e+01	 1.0000e+00	;
 8.6230e+01	 1.8810e+00	 2.3843e+01	 1.0000e+00	;
 8.7423e+01	 1.6814e+00	 2.3843e+01	 1.0000e+00	;
 8.8374e+01	 1.4552e+00	 2.3843e+01	 1.0000e+00	;
 8.9076e+01	 1.1954e+00	 2.3843e+01	 1.0000e+00	;
 8.9224e+01	 8.7526e-01	 2.3843e+01	 1.0000e+00	;
